date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
24.02.2022,0.0,7,0.0,130.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800
25.02.2022,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26.02.2022,0.0,6,0.0,-516.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
27.02.2022,0.0,11,0.0,706.0,0.0,8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1500
28.02.2022,0.0,2,74.0,110.0,0.0,3,0.0,0.0,0.0,0.0,191.0,1.0,0.0,800
01.03.2022,7.0,0,3.0,30.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,410
02.03.2022,2.0,1,8.0,16.0,0.0,2,0.0,0.0,0.0,0.0,13.0,0.0,0.0,130
03.03.2022,2.0,0,5.0,38.0,0.0,0,42.0,0.0,0.0,0.0,6.0,0.0,0.0,3160
04.03.2022,7.0,7,15.0,39.0,0.0,6,8.0,0.0,0.0,0.0,34.0,0.0,0.0,166
05.03.2022,1.0,2,0.0,6.0,0.0,3,0.0,0.0,0.0,0.0,18.0,0.0,0.0,834
06.03.2022,2.0,5,4.0,40.0,0.0,8,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1000
07.03.2022,2.0,2,8.0,14.0,0.0,20,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0
08.03.2022,4.0,2,3.0,37.0,0.0,12,6.0,0.0,0.0,0.0,13.0,0.0,0.0,1000
09.03.2022,1.0,1,0.0,34.0,0.0,1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0
10.03.2022,1.0,0,3.0,35.0,0.0,0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0
11.03.2022,2.0,8,2.0,60.0,0.0,2,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0
12.03.2022,2.0,1,10.0,40.0,0.0,0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0
13.03.2022,1.0,16,5.0,21.0,0.0,3,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0
14.03.2022,0.0,3,10.0,23.0,0.0,4,2.0,0.0,0.0,0.0,15.0,1.0,0.0,0
15.03.2022,2.0,4,0.0,30.0,0.0,5,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1500
16.03.2022,7.0,3,40.0,96.0,0.0,13,6.0,0.0,10.0,0.0,26.0,2.0,0.0,300
17.03.2022,0.0,2,11.0,60.0,0.0,0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,200
18.03.2022,0.0,7,4.0,13.0,0.0,4,0.0,0.0,1.0,0.0,6.0,1.0,0.0,200
19.03.2022,1.0,2,8.0,22.0,0.0,3,0.0,0.0,0.0,0.0,16.0,5.0,0.0,200
20.03.2022,0.0,1,17.0,17.0,0.0,3,2.0,0.0,1.0,0.0,10.0,4.0,0.0,300
21.03.2022,1.0,1,10.0,48.0,0.0,3,6.0,0.0,1.0,0.0,22.0,3.0,0.0,300
22.03.2022,0.0,2,12.0,21.0,0.0,2,0.0,0.0,2.0,0.0,11.0,11.0,0.0,300
23.03.2022,2.0,2,15.0,22.0,0.0,1,0.0,0.0,0.0,0.0,8.0,7.0,0.0,300
24.03.2022,0.0,7,13.0,19.0,0.0,0,2.0,0.0,1.0,0.0,13.0,8.0,0.0,200
25.03.2022,2.0,7,11.0,28.0,0.0,1,8.0,0.0,2.0,0.0,31.0,3.0,0.0,300
26.03.2022,2.0,2,2.0,15.0,0.0,2,1.0,0.0,1.0,0.0,14.0,0.0,0.0,300
27.03.2022,1.0,4,1.0,24.0,0.0,0,2.0,0.0,2.0,0.0,7.0,3.0,0.0,200
28.03.2022,2.0,2,8.0,30.0,0.0,0,2.0,0.0,0.0,0.0,4.0,10.0,0.0,400
29.03.2022,0.0,4,1.0,16.0,0.0,2,1.0,0.0,0.0,0.0,11.0,5.0,0.0,200
30.03.2022,0.0,4,2.0,13.0,0.0,2,0.0,0.0,0.0,0.0,8.0,10.0,0.0,100
31.03.2022,0.0,4,6.0,12.0,0.0,0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,200
01.04.2022,0.0,8,5.0,16.0,0.0,0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,200
02.04.2022,0.0,0,1.0,25.0,0.0,3,4.0,0.0,0.0,0.0,6.0,2.0,0.0,100
03.04.2022,0.0,0,8.0,54.0,0.0,0,5.0,0.0,0.0,0.0,13.0,2.0,0.0,200
04.04.2022,0.0,4,5.0,14.0,0.0,0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,300
05.04.2022,1.0,3,2.0,14.0,0.0,0,0.0,0.0,0.0,0.0,29.0,2.0,0.0,200
06.04.2022,0.0,0,0.0,3.0,0.0,1,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100
07.04.2022,0.0,0,0.0,30.0,0.0,0,1.0,0.0,0.0,0.0,14.0,15.0,0.0,300
08.04.2022,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100
09.04.2022,0.0,1,2.0,4.0,0.0,1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,100
10.04.2022,0.0,1,7.0,16.0,0.0,1,0.0,0.0,0.0,0.0,17.0,0.0,0.0,200
11.04.2022,0.0,2,5.0,12.0,0.0,0,3.0,0.0,0.0,0.0,3.0,7.0,0.0,200
12.04.2022,8.0,3,2.0,23.0,0.0,3,0.0,0.0,0.0,0.0,7.0,5.0,0.0,100
13.04.2022,1.0,1,9.0,18.0,0.0,3,4.0,0.0,0.0,0.0,7.0,8.0,0.0,200
14.04.2022,0.0,2,8.0,4.0,0.0,1,7.0,0.0,0.0,0.0,14.0,2.0,0.0,100
15.04.2022,2.0,3,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100
16.04.2022,0.0,0,5.0,6.0,0.0,1,3.0,0.0,1.0,0.0,6.0,3.0,0.0,100
17.04.2022,0.0,2,5.0,20.0,0.0,1,2.0,0.0,1.0,0.0,11.0,10.0,0.0,200
