date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
24.02.2022,0,7,0,130,0,6,0,0,0,0,0,0,0,800
25.02.2022,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
26.02.2022,0,6,0,-516,0,11,0,0,0,0,0,0,0,200
27.02.2022,0,11,0,706,0,8,0,0,0,0,0,2,0,1500
28.02.2022,0,2,74,110,0,3,0,0,0,0,191,1,0,800
01.03.2022,7,0,3,30,0,0,0,0,0,0,7,0,0,410
02.03.2022,2,1,8,16,0,2,0,0,0,0,13,0,0,130
03.03.2022,2,0,5,38,0,0,42,0,0,0,6,0,0,3160
04.03.2022,7,7,15,39,0,6,8,0,0,0,34,0,0,166
05.03.2022,1,2,0,6,0,3,0,0,0,0,18,0,0,834
06.03.2022,2,5,4,40,0,8,0,0,0,0,16,1,0,1000
07.03.2022,2,2,8,14,0,20,0,0,0,0,5,3,0,0
08.03.2022,4,2,3,37,0,12,6,0,0,0,13,0,0,1000
09.03.2022,1,1,0,34,0,1,0,0,0,0,14,0,0,0
10.03.2022,1,0,3,35,0,0,0,0,0,0,18,0,0,0
11.03.2022,2,8,2,60,0,2,2,0,0,0,18,0,0,0
12.03.2022,2,1,10,40,0,0,4,0,0,0,9,0,0,0
13.03.2022,1,16,5,21,0,3,0,0,0,0,12,0,0,0
14.03.2022,0,3,10,23,0,4,2,0,0,0,15,1,0,0
15.03.2022,2,4,0,30,0,5,0,0,0,0,15,1,0,1500
16.03.2022,7,3,40,96,0,13,6,0,10,0,26,2,0,300
17.03.2022,0,2,11,60,0,0,2,0,0,0,14,0,0,200
18.03.2022,0,7,4,13,0,4,0,0,1,0,6,1,0,200
19.03.2022,1,2,8,22,0,3,0,0,0,0,16,5,0,200
20.03.2022,0,1,17,17,0,3,2,0,1,0,10,4,0,300
21.03.2022,1,1,10,48,0,3,6,0,1,0,22,3,0,300
22.03.2022,0,2,12,21,0,2,0,0,2,0,11,11,0,300
23.03.2022,2,2,15,22,0,1,0,0,0,0,8,7,0,300
24.03.2022,0,7,13,19,0,0,2,0,1,0,13,8,0,200
25.03.2022,2,7,11,28,0,1,8,0,2,0,31,3,0,300
26.03.2022,2,2,2,15,0,2,1,0,1,0,14,0,0,300
27.03.2022,1,4,1,24,0,0,2,0,2,0,7,3,0,200
28.03.2022,2,2,8,30,0,0,2,0,0,0,4,10,0,400
29.03.2022,0,4,1,16,0,2,1,0,0,0,11,5,0,200
30.03.2022,0,4,2,13,0,2,0,0,0,0,8,10,0,100
31.03.2022,0,4,6,12,0,0,0,0,1,0,9,2,0,200
01.04.2022,0,8,5,16,0,0,0,0,2,0,11,2,0,200
02.04.2022,0,0,1,25,0,3,4,0,0,0,6,2,0,100
03.04.2022,0,0,8,54,0,0,5,0,0,0,13,2,0,200
04.04.2022,0,4,5,14,0,0,2,0,1,0,3,3,0,300
05.04.2022,1,3,2,14,0,0,0,0,0,0,29,2,0,200
06.04.2022,0,0,0,3,0,1,0,0,0,0,8,2,0,100
07.04.2022,0,0,0,30,0,0,1,0,0,0,14,15,0,300
08.04.2022,0,0,1,0,0,0,0,0,0,0,2,1,0,100
09.04.2022,0,1,2,4,0,1,0,0,0,0,5,0,0,100
10.04.2022,0,1,7,16,0,1,0,0,0,0,17,0,0,200
11.04.2022,0,2,5,12,0,0,3,0,0,0,3,7,0,200
12.04.2022,8,3,2,23,0,3,0,0,0,0,7,5,0,100
13.04.2022,1,1,9,18,0,3,4,0,0,0,7,8,0,200
14.04.2022,0,2,8,4,0,1,7,0,0,0,14,2,0,100
15.04.2022,2,3,0,8,0,0,0,0,0,0,3,1,0,100
16.04.2022,0,0,5,6,0,1,3,0,1,0,6,3,0,100
17.04.2022,0,2,5,20,0,1,2,0,1,0,11,10,0,200
18.04.2022,1,2,5,39,0,1,3,0,0,0,17,7,0,300
19.04.2022,0,2,5,22,0,3,2,0,0,0,12,3,0,200
20.04.2022,0,2,5,24,0,0,4,0,0,0,13,7,0,100
21.04.2022,0,1,2,31,0,1,0,0,0,0,14,1,0,100
22.04.2022,2,4,4,44,0,2,2,0,0,0,9,6,0,200
23.04.2022,0,1,6,43,0,1,5,0,0,0,16,10,0,400
24.04.2022,0,2,5,33,0,0,4,0,1,0,19,9,0,200
25.04.2022,0,2,3,20,0,0,2,0,0,0,11,10,0,100
26.04.2022,0,3,5,50,0,0,0,0,3,0,34,4,0,200
27.04.2022,2,1,5,34,0,1,0,0,0,0,21,2,0,300
28.04.2022,1,2,10,47,0,0,2,0,0,0,31,8,0,400
29.04.2022,1,2,4,29,0,0,0,0,0,0,16,14,0,200
30.04.2022,4,1,1,27,0,0,0,0,1,0,22,3,0,200
01.05.2022,3,2,15,26,84,0,0,0,0,0,18,13,1796,300
02.05.2022,0,2,8,48,0,0,1,0,6,0,22,26,28,300
03.05.2022,0,0,16,48,0,0,10,0,0,0,14,20,19,400
04.05.2022,1,0,16,43,3,0,1,0,0,0,15,12,24,300
05.05.2022,2,2,8,41,2,0,6,0,0,0,15,9,40,200
06.05.2022,0,3,3,35,1,0,2,0,0,0,18,12,19,200
07.05.2022,1,0,7,27,0,0,1,0,0,0,12,17,8,200
08.05.2022,2,0,0,28,2,1,7,0,1,0,8,19,27,400
09.05.2022,1,0,4,23,2,2,6,0,2,0,15,17,9,150
10.05.2022,0,0,6,44,0,0,0,0,0,0,25,3,10,350
11.05.2022,0,0,9,48,0,2,0,0,0,0,17,10,17,350
12.05.2022,0,0,6,17,0,1,6,0,0,0,8,8,22,300
13.05.2022,1,1,8,27,1,1,2,0,0,0,10,7,23,250
14.05.2022,0,0,9,34,0,1,2,0,1,0,13,6,17,300
15.05.2022,1,0,4,24,0,1,0,0,0,0,2,5,28,200
16.05.2022,0,0,22,16,2,1,0,0,0,0,8,11,14,300
17.05.2022,1,1,1,35,0,2,3,0,1,0,7,9,8,200
18.05.2022,1,1,8,34,5,0,1,0,0,0,16,5,28,400
19.05.2022,2,1,9,20,1,0,0,0,0,0,3,14,20,200
20.05.2022,0,1,1,27,0,1,1,0,0,0,9,5,5,200
21.05.2022,0,0,0,26,1,1,1,0,0,0,15,2,16,150
22.05.2022,0,0,3,25,3,1,0,0,0,0,7,8,16,200
23.05.2022,0,0,5,25,3,0,0,0,0,0,8,6,12,150
24.05.2022,0,1,2,28,2,0,0,0,0,0,9,4,7,150
25.05.2022,0,1,0,19,0,0,0,0,1,0,3,11,5,100
26.05.2022,0,0,11,22,2,0,0,0,3,0,10,11,7,150
27.05.2022,0,0,6,11,1,0,0,0,1,0,7,1,1,150
28.05.2022,0,1,5,12,1,4,2,0,0,0,8,0,0,250
29.05.2022,0,0,3,12,0,0,0,0,0,0,8,1,14,150
30.05.2022,0,0,12,12,2,0,2,0,0,0,11,3,18,200
31.05.2022,0,1,6,20,2,0,2,0,0,0,9,8,17,150
01.06.2022,1,0,10,41,0,1,0,0,1,0,3,4,15,200
02.06.2022,1,2,2,11,0,0,0,0,2,0,2,2,35,150
03.06.2022,0,0,14,12,1,0,0,0,0,0,4,14,4,100
04.06.2022,0,0,5,13,1,0,0,0,1,0,9,5,8,100
05.06.2022,0,0,6,13,0,0,0,0,1,0,5,8,23,100
06.06.2022,1,1,4,8,3,1,0,0,0,0,5,3,35,100
07.06.2022,0,1,4,16,0,1,0,0,0,0,4,2,10,110
08.06.2022,0,0,9,13,0,1,6,0,0,0,3,6,1,140
09.06.2022,0,0,8,9,0,0,0,0,0,0,5,3,15,200
10.06.2022,1,0,1,12,0,0,9,0,1,0,11,10,17,200
11.06.2022,0,0,0,16,0,0,0,0,0,0,10,7,10,150
12.06.2022,0,0,3,18,0,0,4,0,0,0,11,3,7,100
13.06.2022,0,1,3,8,0,0,0,0,0,0,2,3,5,150
14.06.2022,0,0,3,11,0,1,3,0,0,0,2,3,13,200
15.06.2022,0,0,1,25,4,0,1,0,1,0,6,3,12,250
16.06.2022,0,0,7,17,0,0,3,0,0,0,9,0,9,200
17.06.2022,0,2,5,18,0,1,0,0,0,0,7,2,2,200
18.06.2022,1,1,5,10,0,0,0,0,0,0,9,1,17,200
19.06.2022,0,0,6,4,1,1,2,0,0,0,3,4,10,250
20.06.2022,0,0,4,11,0,0,3,0,0,0,9,3,4,200
21.06.2022,0,0,3,18,7,0,1,0,4,0,19,10,10,300
22.06.2022,1,0,0,8,0,1,0,0,1,0,0,3,6,130
23.06.2022,0,0,4,18,0,1,1,0,0,0,8,6,5,200
24.06.2022,0,0,3,5,0,0,1,0,0,0,3,2,5,100
25.06.2022,0,1,5,8,0,1,0,0,0,0,4,4,7,170
26.06.2022,0,0,0,14,2,0,2,0,0,0,21,4,4,150
27.06.2022,2,0,7,28,0,0,0,0,0,0,20,6,11,150
28.06.2022,1,0,7,17,0,1,0,0,1,0,15,0,14,250
29.06.2022,1,0,3,16,3,0,3,0,0,0,5,4,9,200
30.06.2022,1,0,9,6,1,0,0,0,0,0,1,1,4,150
01.07.2022,1,0,6,10,0,1,0,0,0,0,4,4,8,150
02.07.2022,0,0,4,1,1,0,0,0,0,0,5,8,4,120
03.07.2022,0,0,1,7,0,1,0,0,3,0,2,1,4,100
04.07.2022,0,0,3,10,0,0,0,0,1,0,5,4,11,230
05.07.2022,0,0,2,18,0,0,1,0,0,0,5,2,5,150
06.07.2022,2,0,6,17,9,0,0,0,0,0,6,4,14,150
07.07.2022,0,0,3,8,2,0,0,0,1,0,2,3,17,150
08.07.2022,0,0,13,14,0,0,0,0,0,0,35,2,20,250
09.07.2022,1,0,4,4,0,0,0,0,0,0,1,5,2,300
10.07.2022,0,0,2,8,0,1,0,0,0,0,3,2,7,100
11.07.2022,1,0,4,5,0,0,0,0,0,0,4,0,2,100
12.07.2022,0,0,0,1,0,0,0,0,0,0,4,0,3,70
13.07.2022,0,0,1,3,0,0,0,0,1,0,0,2,5,100
14.07.2022,0,2,1,20,0,0,0,0,0,0,18,3,16,300
15.07.2022,0,1,2,14,0,0,0,0,0,0,5,0,11,130
16.07.2022,0,0,4,8,7,0,0,0,1,0,5,6,4,140
17.07.2022,1,0,0,5,4,0,1,0,0,0,7,1,11,160
18.07.2022,3,0,3,7,0,0,0,0,2,0,3,2,7,150
19.07.2022,0,0,2,6,1,0,0,0,0,0,4,3,14,100
20.07.2022,0,1,5,13,0,0,2,0,0,0,9,10,8,200
21.07.2022,0,0,3,7,0,0,1,0,2,0,4,7,6,100
22.07.2022,0,0,4,8,0,0,0,0,0,0,0,3,22,150
23.07.2022,0,0,1,9,0,0,2,0,0,0,4,1,17,240
24.07.2022,0,0,5,13,3,0,2,0,1,0,14,0,3,280
25.07.2022,3,1,7,8,4,0,2,0,0,0,8,5,9,180
26.07.2022,1,0,4,9,0,1,1,0,2,0,7,3,3,170
27.07.2022,0,0,3,12,0,1,0,0,0,0,1,4,12,200
28.07.2022,0,0,11,8,0,0,0,0,0,0,4,3,7,160
29.07.2022,0,0,6,8,0,0,0,0,2,0,7,2,16,270
30.07.2022,0,0,6,8,0,0,0,0,1,0,10,2,19,170
31.07.2022,0,1,10,9,0,0,1,0,2,0,4,2,13,160
01.08.2022,0,0,16,7,0,0,0,0,2,0,5,1,10,200
02.08.2022,0,0,4,3,0,1,0,0,0,0,0,3,2,140
03.08.2022,1,0,3,8,6,0,0,0,1,0,6,1,8,180
04.08.2022,0,0,7,4,2,0,1,0,0,0,15,2,38,150
05.08.2022,5,0,4,6,0,0,0,0,0,0,3,0,4,150
06.08.2022,4,0,5,19,0,0,0,0,2,0,10,2,6,250
07.08.2022,5,0,3,4,0,0,0,0,1,0,3,6,8,300
08.08.2022,0,0,2,15,0,1,1,0,0,0,6,4,15,140
09.08.2022,1,0,4,6,3,1,0,0,1,0,6,3,5,300
10.08.2022,0,9,7,10,0,0,0,0,2,0,15,9,7,160
11.08.2022,1,0,3,14,0,0,0,0,1,0,14,6,13,200
12.08.2022,2,1,1,8,0,0,0,0,0,0,3,6,3,200
13.08.2022,0,0,3,7,2,0,0,0,1,0,7,1,15,200
14.08.2022,0,0,2,11,0,1,0,0,0,0,8,5,3,150
15.08.2022,0,0,5,15,0,1,0,0,1,0,12,3,5,200
16.08.2022,0,0,4,11,3,1,2,0,0,0,4,3,5,150
17.08.2022,0,0,4,10,0,0,0,0,1,0,6,2,5,200
18.08.2022,0,1,17,17,0,1,2,0,0,0,3,1,7,200
19.08.2022,5,0,6,16,0,0,1,0,1,0,10,2,69,400
20.08.2022,0,0,2,17,0,0,0,0,3,0,8,8,7,200
21.08.2022,0,0,10,12,0,0,0,0,2,0,5,3,6,300
22.08.2022,4,0,4,6,4,1,0,0,0,0,7,9,6,200
23.08.2022,1,0,1,8,2,0,0,0,0,0,2,2,1,150
24.08.2022,1,0,3,5,0,1,0,0,0,0,3,2,10,150
25.08.2022,1,0,1,2,0,3,6,0,0,0,5,9,0,150
26.08.2022,0,0,3,6,0,0,0,0,0,0,7,6,2,400
27.08.2022,0,0,5,3,0,0,2,0,0,0,3,2,3,250
