day,cloud_cover_total,weather,summary,weather_id,precipitation_type,precipitation_total,temperature,wind_speed,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
2022-02-24,99.41666666666669,Overcast,Overcast,overcast,none,0.0499999999999999,2.6166666666666667,3.170833333333333,0,7,0,130,0,6,0,0,0,0,0,0,0,800
2022-02-25,98.58333333333331,Overcast,Overcast,overcast,none,0.0,3.141666666666667,3.9583333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
2022-02-26,99.625,Overcast,Overcast,overcast,none,0.0,2.3125,3.625,0,6,0,-516,0,11,0,0,0,0,0,0,0,200
2022-02-27,95.625,Overcast,Overcast,overcast,none,0.0,1.35,3.641666666666667,0,11,0,706,0,8,0,0,0,0,0,2,0,1500
2022-02-28,93.83333333333331,Overcast,Overcast,overcast,none,0.0,0.25,2.595833333333333,0,2,74,110,0,3,0,0,0,0,191,1,0,800
2022-03-01,98.54166666666669,Overcast,Overcast,overcast,none,0.0833333333333333,1.3625,4.379166666666667,7,0,3,30,0,0,0,0,0,0,7,0,0,410
2022-03-02,99.91666666666669,Overcast,Overcast,overcast,none,0.0583333333333333,1.4958333333333331,3.345833333333333,2,1,8,16,0,2,0,0,0,0,13,0,0,130
2022-03-03,100.0,Rain and snow,Rain and snow,rain_and_snow,rain_snow,0.4375,0.4541666666666666,3.0625,2,0,5,38,0,0,42,0,0,0,6,0,0,3160
2022-03-04,98.16666666666669,Overcast,Overcast,overcast,none,0.0,0.75,5.091666666666667,7,7,15,39,0,6,8,0,0,0,34,0,0,166
2022-03-05,99.70833333333331,Overcast,Overcast,overcast,none,0.05,-0.6375,4.3500000000000005,1,2,0,6,0,3,0,0,0,0,18,0,0,834
2022-03-06,38.54166666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,-1.8875,2.6,2,5,4,40,0,8,0,0,0,0,16,1,0,1000
2022-03-07,91.0,Overcast,Overcast,overcast,none,0.0,-2.0125,1.5583333333333331,2,2,8,14,0,20,0,0,0,0,5,3,0,0
2022-03-08,90.0,Overcast,Overcast,overcast,none,0.05,-1.9041666666666663,1.5625,4,2,3,37,0,12,6,0,0,0,13,0,0,1000
2022-03-09,63.29166666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0958333333333333,-2.8875,2.2625,1,1,0,34,0,1,0,0,0,0,14,0,0,0
2022-03-10,82.58333333333333,Cloudy,Cloudy,cloudy,none,0.0,-7.704166666666667,3.4125,1,0,3,35,0,0,0,0,0,0,18,0,0,0
2022-03-11,83.125,Overcast,Overcast,overcast,none,0.0,-6.454166666666667,4.7,2,8,2,60,0,2,2,0,0,0,18,0,0,0
2022-03-12,27.916666666666668,Sunny,Sunny,sunny,none,0.0,-6.579166666666667,2.558333333333333,2,1,10,40,0,0,4,0,0,0,9,0,0,0
2022-03-13,41.75,Sunny,Sunny,sunny,none,0.0,-6.25,1.9208333333333332,1,16,5,21,0,3,0,0,0,0,12,0,0,0
2022-03-14,50.083333333333336,Partly sunny,Partly sunny,partly_sunny,none,0.0,-2.245833333333333,2.966666666666667,0,3,10,23,0,4,2,0,0,0,15,1,0,0
2022-03-15,36.79166666666666,Sunny,Sunny,sunny,none,0.0,-0.7791666666666667,3.8083333333333336,2,4,0,30,0,5,0,0,0,0,15,1,0,1500
2022-03-16,63.0,Overcast,Overcast,overcast,none,0.0,-5.045833333333333,3.583333333333333,7,3,40,96,0,13,6,0,10,0,26,2,0,300
2022-03-17,84.70833333333333,Overcast,Overcast,overcast,none,0.0125,-6.9875,4.4125000000000005,0,2,11,60,0,0,2,0,0,0,14,0,0,200
2022-03-18,84.41666666666667,Overcast,Overcast,overcast,none,0.0,-6.220833333333334,3.633333333333333,0,7,4,13,0,4,0,0,1,0,6,1,0,200
2022-03-19,25.20833333333333,Sunny,Sunny,sunny,none,0.0,-3.3000000000000003,3.7708333333333335,1,2,8,22,0,3,0,0,0,0,16,5,0,200
2022-03-20,0.7916666666666666,Sunny,Sunny,sunny,none,0.0,-0.5583333333333332,3.15,0,1,17,17,0,3,2,0,1,0,10,4,0,300
2022-03-21,0.0,Sunny,Sunny,sunny,none,0.0,3.8125,3.458333333333333,1,1,10,48,0,3,6,0,1,0,22,3,0,300
2022-03-22,0.0416666666666666,Sunny,Sunny,sunny,none,0.0,3.0500000000000003,3.8375,0,2,12,21,0,2,0,0,2,0,11,11,0,300
2022-03-23,1.6666666666666667,Sunny,Sunny,sunny,none,0.0,2.5625,1.8,2,2,15,22,0,1,0,0,0,0,8,7,0,300
2022-03-24,0.0416666666666666,Sunny,Sunny,sunny,none,0.0,3.3000000000000003,2.275,0,7,13,19,0,0,2,0,1,0,13,8,0,200
2022-03-25,17.875,Sunny,Sunny,sunny,none,0.0,2.858333333333334,2.3541666666666665,2,7,11,28,0,1,8,0,2,0,31,3,0,300
2022-03-26,32.458333333333336,Sunny,Sunny,sunny,none,0.0083333333333333,6.583333333333333,4.170833333333333,2,2,2,15,0,2,1,0,1,0,14,0,0,300
2022-03-27,67.375,Partly sunny,Partly sunny,partly_sunny,none,0.1875,1.15,6.083333333333333,1,4,1,24,0,0,2,0,2,0,7,3,0,200
2022-03-28,17.416666666666668,Sunny,Sunny,sunny,none,0.0,1.7583333333333335,5.279166666666667,2,2,8,30,0,0,2,0,0,0,4,10,0,400
2022-03-29,48.083333333333336,Sunny,Sunny,sunny,none,0.0,7.616666666666667,5.9,0,4,1,16,0,2,1,0,0,0,11,5,0,200
2022-03-30,58.125,Overcast,Overcast,overcast,none,0.0,9.9875,3.845833333333333,0,4,2,13,0,2,0,0,0,0,8,10,0,100
2022-03-31,80.25,Overcast,Overcast,overcast,none,0.0,10.725,4.941666666666666,0,4,6,12,0,0,0,0,1,0,9,2,0,200
2022-04-01,94.04166666666669,Overcast,Overcast,overcast,none,0.0,13.679166666666667,5.583333333333333,0,8,5,16,0,0,0,0,2,0,11,2,0,200
2022-04-02,43.875,Partly sunny,Partly sunny,partly_sunny,none,0.0,14.875,5.695833333333333,0,0,1,25,0,3,4,0,0,0,6,2,0,100
2022-04-03,57.833333333333336,Overcast,Overcast,overcast,none,0.1791666666666666,9.645833333333334,4.4125000000000005,0,0,8,54,0,0,5,0,0,0,13,2,0,200
2022-04-04,91.75,Overcast,Overcast,overcast,none,0.0291666666666666,3.545833333333333,4.175,0,4,5,14,0,0,2,0,1,0,3,3,0,300
2022-04-05,84.54166666666667,Overcast,Overcast,overcast,none,0.0,4.2250000000000005,3.8333333333333335,1,3,2,14,0,0,0,0,0,0,29,2,0,200
2022-04-06,50.333333333333336,Partly sunny,Partly sunny,partly_sunny,none,0.0,6.779166666666666,4.116666666666666,0,0,0,3,0,1,0,0,0,0,8,2,0,100
2022-04-07,24.08333333333333,Sunny,Sunny,sunny,none,0.0,10.529166666666669,3.579166666666667,0,0,0,30,0,0,1,0,0,0,14,15,0,300
2022-04-08,89.375,Overcast,Overcast,overcast,none,0.2083333333333333,10.529166666666669,4.620833333333334,0,0,1,0,0,0,0,0,0,0,2,1,0,100
2022-04-09,60.375,Partly sunny,Partly sunny,partly_sunny,none,0.0,11.1875,3.420833333333333,0,1,2,4,0,1,0,0,0,0,5,0,0,100
2022-04-10,81.375,Overcast,Overcast,overcast,none,0.0416666666666666,13.845833333333331,4.0,0,1,7,16,0,1,0,0,0,0,17,0,0,200
2022-04-11,57.16666666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,16.479166666666668,4.291666666666667,0,2,5,12,0,0,3,0,0,0,3,7,0,200
2022-04-12,99.95833333333331,Overcast,Overcast,overcast,none,0.1541666666666666,9.4,3.8083333333333336,8,3,2,23,0,3,0,0,0,0,7,5,0,100
2022-04-13,99.54166666666669,Overcast,Overcast,overcast,none,0.65,3.1125000000000003,2.9916666666666667,1,1,9,18,0,3,4,0,0,0,7,8,0,200
2022-04-14,98.0,Overcast,Overcast,overcast,none,0.075,5.7250000000000005,2.35,0,2,8,4,0,1,7,0,0,0,14,2,0,100
2022-04-15,76.04166666666667,Overcast,Overcast,overcast,none,0.0,9.6,2.6041666666666665,2,3,0,8,0,0,0,0,0,0,3,1,0,100
2022-04-16,88.04166666666667,Overcast,Overcast,overcast,none,0.0,8.5,3.583333333333333,0,0,5,6,0,1,3,0,1,0,6,3,0,100
2022-04-17,83.375,Overcast,Overcast,overcast,none,0.0,10.104166666666666,2.075,0,2,5,20,0,1,2,0,1,0,11,10,0,200
2022-04-18,74.04166666666667,Partly sunny,Partly sunny,partly_sunny,none,0.075,12.495833333333332,3.158333333333333,1,2,5,39,0,1,3,0,0,0,17,7,0,300
2022-04-19,81.25,Overcast,Overcast,overcast,none,0.0499999999999999,12.625,3.5875,0,2,5,22,0,3,2,0,0,0,12,3,0,200
2022-04-20,64.16666666666667,Overcast,Overcast,overcast,none,0.1125,8.454166666666667,3.35,0,2,5,24,0,0,4,0,0,0,13,7,0,100
2022-04-21,88.04166666666667,Overcast,Overcast,overcast,none,0.2291666666666666,7.962499999999999,2.970833333333333,0,1,2,31,0,1,0,0,0,0,14,1,0,100
2022-04-22,68.375,Overcast,Overcast,overcast,none,0.0083333333333333,7.933333333333334,2.8125,2,4,4,44,0,2,2,0,0,0,9,6,0,200
2022-04-23,70.54166666666667,Overcast,Overcast,overcast,none,0.0,10.933333333333332,2.654166666666667,0,1,6,43,0,1,5,0,0,0,16,10,0,400
2022-04-24,50.29166666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0499999999999999,13.429166666666667,3.1958333333333333,0,2,5,33,0,0,4,0,1,0,19,9,0,200
2022-04-25,45.54166666666666,Sunny,Sunny,sunny,none,0.0,14.8125,1.6416666666666666,0,2,3,20,0,0,2,0,0,0,11,10,0,100
2022-04-26,58.41666666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,17.320833333333333,1.5583333333333331,0,3,5,50,0,0,0,0,3,0,34,4,0,200
2022-04-27,20.416666666666668,Sunny,Sunny,sunny,none,0.0,15.170833333333334,2.958333333333333,2,1,5,34,0,1,0,0,0,0,21,2,0,300
2022-04-28,54.458333333333336,Partly sunny,Partly sunny,partly_sunny,none,0.0,13.7625,2.5166666666666666,1,2,10,47,0,0,2,0,0,0,31,8,0,400
2022-04-29,82.54166666666667,Overcast,Overcast,overcast,none,0.0,14.295833333333334,2.875,1,2,4,29,0,0,0,0,0,0,16,14,0,200
2022-04-30,62.29166666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,11.85,3.8791666666666655,4,1,1,27,0,0,0,0,1,0,22,3,0,200
2022-05-01,32.25,Sunny,Sunny,sunny,none,0.0,10.9875,3.279166666666667,3,2,15,26,84,0,0,0,0,0,18,13,1796,300
2022-05-02,63.91666666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,9.6,2.0875,0,2,8,48,0,0,1,0,6,0,22,26,28,300
2022-05-03,52.66666666666666,Partly sunny,Partly sunny,partly_sunny,none,0.0,9.9375,2.2583333333333333,0,0,16,48,0,0,10,0,0,0,14,20,19,400
2022-05-04,49.958333333333336,Partly sunny,Partly sunny,partly_sunny,none,0.0,11.329166666666666,1.575,1,0,16,43,3,0,1,0,0,0,15,12,24,300
2022-05-05,85.95833333333333,Overcast,Overcast,overcast,none,0.0,11.720833333333331,4.675,2,2,8,41,2,0,6,0,0,0,15,9,40,200
2022-05-06,94.45833333333331,Overcast,Overcast,overcast,none,0.0,9.7125,4.004166666666666,0,3,3,35,1,0,2,0,0,0,18,12,19,200
2022-05-07,19.291666666666668,Partly sunny,Partly sunny,partly_sunny,none,0.0,9.7875,3.2458333333333336,1,0,7,27,0,0,1,0,0,0,12,17,8,200
2022-05-08,18.541666666666668,Sunny,Sunny,sunny,none,0.0,11.766666666666666,1.7,2,0,0,28,2,1,7,0,1,0,8,19,27,400
2022-05-09,22.791666666666668,Sunny,Sunny,sunny,none,0.0333333333333333,13.0,3.225,1,0,4,23,2,2,6,0,2,0,15,17,9,150
2022-05-10,44.375,Partly sunny,Partly sunny,partly_sunny,none,0.0,8.691666666666666,3.725,0,0,6,44,0,0,0,0,0,0,25,3,10,350
2022-05-11,63.375,Overcast,Overcast,overcast,none,0.0,10.7375,4.133333333333334,0,0,9,48,0,2,0,0,0,0,17,10,17,350
2022-05-12,53.333333333333336,Partly sunny,Partly sunny,partly_sunny,none,0.0,15.554166666666667,4.05,0,0,6,17,0,1,6,0,0,0,8,8,22,300
2022-05-13,45.625,Partly sunny,Partly sunny,partly_sunny,none,0.0,17.425,4.2625,1,1,8,27,1,1,2,0,0,0,10,7,23,250
2022-05-14,97.08333333333331,Overcast,Overcast,overcast,none,0.4416666666666666,11.058333333333332,1.5125,0,0,9,34,0,1,2,0,1,0,13,6,17,300
2022-05-15,59.25,Partly sunny,Partly sunny,partly_sunny,none,0.0,14.179166666666667,4.008333333333334,1,0,4,24,0,1,0,0,0,0,2,5,28,200
2022-05-16,38.0,Sunny,Sunny,sunny,none,0.0,13.791666666666666,4.0375000000000005,0,0,22,16,2,1,0,0,0,0,8,11,14,300
