date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
06.06.2024,831,357,13433,15076,2270,326,1095,0,2230,1,7828,10846,18360,515000
05.06.2024,830,357,13385,15036,2270,326,1092,0,2223,1,7806,10805,18297,513700
04.06.2024,827,357,13345,15020,2270,326,1092,0,2211,1,7794,10766,18228,512420
03.06.2024,824,357,13280,15002,2268,326,1090,0,2199,1,7779,10739,18159,511130
02.06.2024,821,357,13233,14980,2268,326,1089,0,2195,1,7765,10699,18092,509860
01.06.2024,815,357,13184,14947,2230,326,1088,0,2181,1,7740,10617,18006,508780
31.05.2024,815,357,13140,14935,2229,326,1088,0,2164,1,7728,10587,17905,507650
30.05.2024,815,357,13101,14913,2222,326,1088,0,2153,1,7710,10532,17849,506260
29.05.2024,815,357,13066,14891,2222,326,1087,0,2142,1,7700,10510,17796,505100
28.05.2024,815,357,13029,14858,2221,326,1085,0,2122,1,7692,10482,17740,503800
27.05.2024,815,357,12981,14818,2221,326,1084,0,2118,1,7671,10467,17694,502340
26.05.2024,814,357,12953,14803,2209,326,1083,0,2111,1,7662,10425,17639,501190
25.05.2024,814,356,12929,14786,2209,326,1082,0,2104,1,7650,10414,17608,500080
24.05.2024,813,356,12902,14775,2209,326,1080,0,2101,1,7635,10410,17569,498940
23.05.2024,813,355,12860,14748,2209,326,1077,0,2094,1,7622,10391,17513,497700
22.05.2024,812,354,12820,14721,2208,326,1077,0,2090,1,7611,10346,17442,496370
21.05.2024,811,354,12779,14699,2207,326,1077,0,2085,1,7605,10290,17383,495070
20.05.2024,807,354,12737,14665,2205,326,1076,0,2079,1,7590,10236,17311,493690
19.05.2024,803,354,12687,14630,2204,326,1074,0,2077,1,7576,10155,17251,492290
18.05.2024,801,354,12639,14595,2203,326,1071,0,2075,1,7560,10108,17169,491080
17.05.2024,800,353,12603,14552,2200,326,1071,0,2069,1,7547,10073,17104,489870
16.05.2024,798,351,12565,14538,2200,325,1070,0,2062,1,7529,10028,17048,488460
15.05.2024,798,351,12538,14508,2199,325,1070,0,2061,1,7510,10015,16955,486940
14.05.2024,798,351,12515,14460,2197,325,1070,0,2054,1,7496,9985,16907,485430
13.05.2024,797,350,12487,14417,2197,325,1070,0,2048,1,7485,9936,16878,484030
12.05.2024,797,350,12472,14375,2194,325,1066,0,2042,1,7454,9910,16819,482290
11.05.2024,796,349,12442,14353,2193,325,1064,0,2040,1,7449,9868,16755,481030
10.05.2024,795,349,12387,14313,2192,325,1062,0,2031,1,7434,9826,16691,479710
09.05.2024,793,349,12340,14281,2192,325,1058,0,2027,1,7429,9775,16618,478730
08.05.2024,792,349,12317,14246,2151,325,1057,0,2019,1,7418,9728,16549,477430
07.05.2024,792,349,12287,14227,2149,325,1057,0,2017,1,7405,9717,16509,476460
06.05.2024,791,349,12250,14213,2148,325,1057,0,2008,1,7380,9683,16477,475300
05.05.2024,790,349,12212,14179,2147,325,1057,0,2002,1,7375,9636,16418,474260
04.05.2024,788,348,12191,14161,2146,325,1056,0,1998,1,7366,9611,16381,473400
03.05.2024,786,348,12102,14129,2126,325,1053,0,1993,1,7354,9580,16266,472140
02.05.2024,784,348,12044,14096,2126,325,1053,0,1988,1,7332,9561,16224,470870
01.05.2024,780,348,12024,14067,2126,325,1053,0,1980,1,7312,9538,16175,469840
30.04.2024,779,348,12011,14046,2126,325,1053,0,1977,1,7307,9531,16142,468720
29.04.2024,778,348,11985,14007,2124,325,1051,0,1974,1,7285,9528,16109,467470
28.04.2024,776,348,11948,13991,2124,325,1050,0,1971,1,7279,9507,16065,466150
27.04.2024,775,348,11905,13971,2124,325,1049,0,1968,1,7268,9485,16019,465054
