date,air_defense,aircraft,artillery_systems,bbm,cruise_missiles,helicopters,rszv,ships,special_equipment,submarines,tanks,uavs,vehicles,personnel
02.06.2024,6.0,0,49.0,33.0,38.0,0,1.0,0.0,14.0,0.0,25.0,82.0,86.0,1080
01.06.2024,0.0,0,44.0,12.0,1.0,0,0.0,0.0,17.0,0.0,12.0,30.0,101.0,1130
31.05.2024,0.0,0,39.0,22.0,7.0,0,0.0,0.0,11.0,0.0,18.0,55.0,56.0,1390
30.05.2024,0.0,0,35.0,22.0,0.0,0,1.0,0.0,11.0,0.0,10.0,22.0,53.0,1160
29.05.2024,0.0,0,37.0,33.0,1.0,0,2.0,0.0,20.0,0.0,8.0,28.0,56.0,1300
28.05.2024,0.0,0,48.0,40.0,0.0,0,1.0,0.0,4.0,0.0,21.0,15.0,46.0,1460
27.05.2024,1.0,0,28.0,15.0,12.0,0,1.0,0.0,7.0,0.0,9.0,42.0,55.0,1150
26.05.2024,0.0,1,24.0,17.0,0.0,0,1.0,0.0,7.0,0.0,12.0,11.0,31.0,1110
25.05.2024,1.0,0,27.0,11.0,0.0,0,2.0,0.0,3.0,0.0,15.0,4.0,39.0,1140
24.05.2024,0.0,1,42.0,27.0,0.0,0,3.0,0.0,7.0,0.0,13.0,19.0,56.0,1240
23.05.2024,1.0,1,40.0,27.0,1.0,0,0.0,0.0,4.0,0.0,11.0,45.0,71.0,1330
22.05.2024,1.0,0,41.0,22.0,1.0,0,0.0,0.0,5.0,0.0,6.0,56.0,59.0,1300
21.05.2024,4.0,0,42.0,34.0,2.0,0,1.0,0.0,6.0,0.0,15.0,54.0,72.0,1380
20.05.2024,4.0,0,50.0,35.0,1.0,0,2.0,0.0,2.0,0.0,14.0,81.0,60.0,1400
19.05.2024,2.0,0,48.0,35.0,1.0,0,3.0,0.0,2.0,0.0,16.0,47.0,82.0,1210
18.05.2024,1.0,1,36.0,43.0,3.0,0,0.0,0.0,6.0,0.0,13.0,35.0,65.0,1210
17.05.2024,2.0,2,38.0,14.0,0.0,1,1.0,0.0,7.0,0.0,18.0,45.0,56.0,1410
16.05.2024,0.0,0,27.0,30.0,1.0,0,0.0,0.0,1.0,0.0,19.0,13.0,93.0,1520
15.05.2024,0.0,0,23.0,48.0,2.0,0,0.0,0.0,7.0,0.0,14.0,30.0,48.0,1510
14.05.2024,1.0,1,28.0,43.0,0.0,0,0.0,0.0,6.0,0.0,11.0,49.0,29.0,1400
